JOY,ANGER,SHAME,DISGUST,SADNESS,FEAR,GUILT
0.621118,0.338558,0.422535,0.52551,0.562914,0.607595,0.402516
0.621118,0.363057,0.430556,0.516854,0.561194,0.613003,0.396396
0.621118,0.334495,0.430556,0.515068,0.530744,0.613924,0.392027
0.621118,0.296578,0.428115,0.525074,0.564263,0.616393,0.382445
0.621118,0.322581,0.413284,0.532982,0.518033,0.58156,0.4
0.621118,0.29078,0.432099,0.521531,0.539394,0.603774,0.381503
0.621118,0.319703,0.425532,0.541667,0.545455,0.587859,0.39403
0.621118,0.287938,0.426471,0.526611,0.530726,0.604811,0.376543
0.621118,0.320896,0.446809,0.541772,0.541033,0.613333,0.395973
0.621118,0.290909,0.43299,0.551532,0.553846,0.613333,0.397436
0.621118,0.332203,0.404412,0.53886,0.545455,0.59589,0.393333
0.621118,0.304965,0.413043,0.504717,0.5625,0.601942,0.397554
0.621118,0.295775,0.445993,0.542636,0.504399,0.606452,0.290909
0.621118,0.368421,0.435374,0.515068,0.51875,0.606452,0.387879
0.621118,0.276423,0.430108,0.526596,0.530744,0.606452,0.392523
0.621118,0.33557,0.449827,0.523944,0.575342,0.606452,0.385965
0.621118,0.302158,0.428571,0.513369,0.544892,0.606452,0.390533
0.621118,0.316206,0.431818,0.510417,0.561056,0.606452,0.383838
0.621118,0.328076,0.435897,0.516971,0.543956,0.606452,0.375
0.621118,0.376404,0.393822,0.527363,0.544944,0.606452,0.363036
0.621118,0.308219,0.42446,0.540404,0.558824,0.606452,0.402402
0.621118,0.268293,0.430556,0.530504,0.531343,0.606452,0.379182
0.621118,0.304348,0.402878,0.530055,0.566775,0.606452,0.34657
0.621118,0.352584,0.414545,0.540845,0.527174,0.606452,0.401294
0.621118,0.297297,0.397112,0.53886,0.540373,0.606452,0.377104
0.621118,0.288732,0.411552,0.521739,0.526946,0.606452,0.391167
0.621118,0.29932,0.423077,0.544503,0.557692,0.606452,0.391304
0.621118,0.339394,0.439189,0.536193,0.539326,0.606452,0.377246
0.621118,0.358804,0.441379,0.509524,0.543284,0.606452,0.365217
0.621118,0.352632,0.413284,0.528967,0.535211,0.606452,0.373938
0.621118,0.339744,0.438163,0.524173,0.533724,0.606452,0.397661
0.621118,0.318841,0.435065,0.542105,0.534954,0.606452,0.375427
0.621118,0.338983,0.423313,0.508314,0.533742,0.606452,0.366972
0.621118,0.353293,0.410448,0.546448,0.529595,0.606452,0.375405
0.621118,0.324138,0.432432,0.542553,0.537975,0.606452,0.380117
0.621118,0.334385,0.422145,0.541555,0.55625,0.606452,0.393258
0.621118,0.337748,0.439189,0.53125,0.537313,0.606452,0.384384
0.621118,0.307143,0.42029,0.515759,0.543353,0.606452,0.367601
0.621118,0.290196,0.406015,0.510101,0.493766,0.606452,0.370821
0.621118,0.335821,0.431095,0.523677,0.540059,0.606452,0.380062
0.621118,0.327869,0.424908,0.528,0.535714,0.606452,0.368876
0.621118,0.338983,0.430657,0.522388,0.572347,0.606452,0.384146
0.621118,0.355556,0.422442,0.534759,0.516129,0.606452,0.394904
0.621118,0.302326,0.435714,0.528796,0.516129,0.606452,0.380665
0.621118,0.32,0.435424,0.520885,0.514436,0.606452,0.373684
0.621118,0.315412,0.402827,0.512968,0.533333,0.606452,0.344595
0.621118,0.327759,0.40293,0.507042,0.531343,0.606452,0.37037
0.621118,0.327526,0.382671,0.539846,0.546075,0.606452,0.398792
0.621118,0.352239,0.394558,0.516129,0.539394,0.606452,0.366667
0.621118,0.315068,0.4,0.517711,0.541538,0.606452,0.366013
0.621118,0.338558,0.429043,0.523529,0.539877,0.606452,0.356923
0.621118,0.363057,0.413284,0.512346,0.55082,0.606452,0.351852
0.621118,0.334495,0.406667,0.530612,0.533724,0.606452,0.37037
0.621118,0.296578,0.41115,0.524752,0.521994,0.606452,0.392749
0.621118,0.322581,0.408163,0.497382,0.543046,0.606452,0.386503
0.621118,0.29078,0.42069,0.530928,0.553746,0.606452,0.391813
0.621118,0.319703,0.411348,0.523677,0.540845,0.606452,0.391061
0.621118,0.287938,0.413043,0.532338,0.560472,0.606452,0.360544
0.621118,0.320896,0.386617,0.534704,0.558442,0.606452,0.385965
0.621118,0.357616,0.407273,0.539683,0.505495,0.606452,0.371517
0.621118,0.302158,0.413284,0.550649,0.552795,0.606452,0.37785
0.621118,0.328947,0.408602,0.548387,0.534161,0.606452,0.378378
0.621118,0.28777,0.435088,0.548813,0.538922,0.606452,0.385269
0.621118,0.322581,0.421053,0.509383,0.517906,0.606452,0.37037
0.621118,0.309859,0.413284,0.541772,0.529595,0.606452,0.371336
0.621118,0.290076,0.405904,0.525714,0.539394,0.606452,0.36875
0.621118,0.307116,0.383459,0.541436,0.526012,0.606452,0.382166
0.621118,0.316901,0.416961,0.526316,0.536313,0.606452,0.396285
0.621118,0.333333,0.416357,0.534031,0.557377,0.606452,0.358804
0.621118,0.29682,0.425993,0.518337,0.545455,0.606452,0.403458
0.621118,0.331169,0.432432,0.527174,0.52809,0.606452,0.364821
0.621118,0.30363,0.41791,0.518717,0.527221,0.606452,0.376238
0.621118,0.274074,0.405904,0.514745,0.521994,0.606452,0.37377
0.621118,0.350649,0.445205,0.527473,0.521212,0.606452,0.378049
0.621118,0.283582,0.3861,0.523677,0.51462,0.606452,0.396341
0.621118,0.331126,0.418118,0.517711,0.526316,0.606452,0.39604
0.621118,0.297872,0.411552,0.52451,0.51312,0.606452,0.390728
0.621118,0.340836,0.415771,0.528497,0.536443,0.606452,0.396285
0.621118,0.337931,0.429091,0.527919,0.546012,0.606452,0.368601
0.621118,0.312057,0.416961,0.522222,0.52809,0.606452,0.385382
0.621118,0.305085,0.435424,0.522222,0.526316,0.606452,0.36246
0.621118,0.338762,0.416382,0.520325,0.540059,0.606452,0.393846
0.621118,0.345912,0.401674,0.519774,0.473214,0.606452,0.359155
0.621118,0.363636,0.430464,0.525745,0.512535,0.606452,0.389972
0.621118,0.324503,0.42471,0.525199,0.552553,0.606452,0.357388
0.621118,0.308772,0.423611,0.521505,0.512262,0.606452,0.380952
0.621118,0.296875,0.426573,0.528796,0.537572,0.606452,0.383721
0.621118,0.333333,0.42069,0.52551,0.519337,0.606452,0.352201
0.621118,0.287823,0.419847,0.519084,0.509804,0.606452,0.389381
0.621118,0.327869,0.414013,0.513716,0.526012,0.606452,0.388406
0.621118,0.281481,0.424658,0.506964,0.526627,0.606452,0.371069
0.621118,0.287823,0.404255,0.528497,0.52149,0.606452,0.376623
0.621118,0.327044,0.408602,0.525469,0.547855,0.606452,0.403509
0.621118,0.313333,0.40625,0.526316,0.52381,0.606452,0.373832
0.621118,0.303249,0.416382,0.541114,0.506203,0.606452,0.35461
0.621118,0.318471,0.414474,0.526611,0.509915,0.606452,0.36246
0.621118,0.325424,0.425856,0.52149,0.541935,0.606452,0.343434
0.621118,0.314754,0.437956,0.538043,0.511364,0.606452,0.349835
0.621118,0.314754,0.427536,0.543011,0.505556,0.606452,0.359477
0.621118,0.311258,0.438662,0.532637,0.542056,0.606452,0.370149
0.621118,0.311864,0.403042,0.5323,0.536873,0.606452,0.368932
0.621118,0.30363,0.407692,0.545946,0.541033,0.606452,0.358621
0.621118,0.317568,0.430976,0.550409,0.526946,0.606452,0.386076
0.621118,0.316498,0.421405,0.541114,0.536023,0.606452,0.370607
0.621118,0.330935,0.42069,0.537234,0.511364,0.606452,0.350365
0.621118,0.306122,0.427046,0.544503,0.526946,0.606452,0.366366
0.621118,0.303887,0.423611,0.52987,0.542484,0.606452,0.348387
0.621118,0.314286,0.42029,0.527415,0.526027,0.606452,0.363636
0.621118,0.338369,0.416357,0.531579,0.537313,0.606452,0.370821
